weeks_on_chart,danceability,mode
65,0.761,1
37,0.591,1
3,0.812,0
21,0.728,0
19,0.695,1
32,0.795,1
6,0.843,0
35,0.741,0
15,0.869,0
28,0.788,1
37,0.824,0
23,0.604,1
27,0.601,1
3,0.756,1
13,0.41,0
4,0.87,0
27,0.737,0
29,0.671,0
6,0.345,0
39,0.807,0
21,0.671,0
37,0.762,1
20,0.754,0
45,0.563,1
26,0.573,0
24,0.575,1
121,0.514,1
25,0.639,0
2,0.814,1
3,0.426,1
50,0.442,0
21,0.854,0
82,0.612,1
42,0.644,1
41,0.664,1
32,0.609,1
13,0.577,0
50,0.764,1
1,0.744,1
9,0.69,1
77,0.702,0
44,0.38,1
48,0.65,1
1,0.638,0
3,0.954,0
11,0.575,0
52,0.593,0
5,0.778,0
26,0.908,1
18,0.787,0
44,0.759,1
7,0.494,0
4,0.796,0
68,0.68,1
63,0.561,1
15,0.766,0
12,0.52,1
8,0.672,0
73,0.731,0
18,0.746,0
1,0.583,0
29,0.748,1
2,0.773,0
5,0.808,1
1,0.742,1
34,0.332,1
7,0.614,0
11,0.773,0
42,0.714,0
23,0.594,0
28,0.727,1
1,0.522,0
123,0.548,1
1,0.783,1
3,0.551,1
10,0.913,1
1,0.674,1
3,0.643,1
8,0.742,0
42,0.949,0
19,0.86,1
2,0.827,1
34,0.725,1
20,0.687,1
125,0.793,0
51,0.442,1
44,0.78,0
53,0.677,1
18,0.534,1
1,0.68,0
15,0.825,1
268,0.776,0
11,0.56,1
179,0.755,1
11,0.309,1
33,0.603,1
22,0.542,1
11,0.745,1
1,0.83,0
83,0.746,0
6,0.816,1
66,0.686,1
205,0.351,0
11,0.46,1
4,0.375,0
1,0.583,1
168,0.501,1
28,0.831,0
39,0.828,1
12,0.656,0
66,0.429,1
23,0.744,1
5,0.677,1
13,0.821,0
35,0.69,0
12,0.746,0
10,0.574,1
4,0.716,1
47,0.345,1
29,0.849,0
8,0.758,1
1,0.453,1
1,0.925,0
5,0.588,1
37,0.659,1
54,0.664,0
3,0.658,0
63,0.489,1
6,0.468,1
20,0.76,1
10,0.308,0
76,0.588,1
12,0.728,1
39,0.548,1
11,0.735,0
14,0.743,1
64,0.754,1
1,0.764,0
2,0.77,1
269,0.825,0
54,0.527,1
22,0.647,1
12,0.652,1
64,0.484,1
34,0.912,0
23,0.717,0
182,0.414,0
34,0.742,1
7,0.894,0
32,0.77,0
262,0.599,1
1,0.788,1
120,0.792,1
28,0.734,0
85,0.701,0
87,0.352,1
1,0.905,0
19,0.631,1
134,0.695,1
7,0.762,0
75,0.566,0
87,0.357,1
6,0.899,0
10,0.732,0
1,0.888,1
3,0.424,1
140,0.824,0
44,0.395,1
35,0.592,0
12,0.562,0
29,0.773,1
68,0.532,1
3,0.586,0
27,0.579,1
4,0.799,0
10,0.837,0
33,0.691,1
194,0.511,0
21,0.658,1
1,0.93,1
76,0.808,0
22,0.633,1
74,0.737,1
3,0.693,1
50,0.498,0
1,0.583,0
21,0.855,1
55,0.586,1
1,0.755,0
172,0.617,0
16,0.67,1
38,0.695,0
34,0.548,1
1,0.441,0
138,0.759,0
6,0.78,0
122,0.459,1
10,0.508,0
268,0.358,1
45,0.749,1
5,0.621,1
19,0.52,0
14,0.911,0
14,0.65,0
11,0.629,0
2,0.919,1
14,0.801,0
9,0.44,1
14,0.647,0
5,0.686,1
14,0.804,0
6,0.835,0
16,0.87,1
1,0.762,1
10,0.704,1
7,0.881,1
3,0.911,1
8,0.693,0
15,0.836,0
1,0.718,0
14,0.795,0
16,0.695,1
5,0.565,1
12,0.714,1
14,0.829,1
10,0.733,1
8,0.529,1
3,0.733,0
14,0.768,1
10,0.847,0
14,0.663,0
83,0.791,0
10,0.801,0
26,0.586,0
14,0.539,1
18,0.902,0
4,0.577,1
14,0.564,1
1,0.627,1
9,0.82,0
12,0.795,0
2,0.545,0
15,0.463,1
14,0.787,0
3,0.607,1
14,0.876,1
42,0.461,1
7,0.532,1
5,0.712,0
2,0.78,1
10,0.323,1
8,0.909,1
5,0.723,1
6,0.809,0
6,0.543,0
97,0.679,1
14,0.797,0
14,0.839,1
1,0.743,0
11,0.845,1
5,0.795,0
14,0.817,1
3,0.81,1
5,0.464,0
10,0.645,1
